Player,AI_Projection,Category
Aaron Nesmith,12.64,Points
AJ Johnson,,Points
Alex Sarr,,Points
Alperen Sengun,25.119999999999997,Points
Amen Thompson,13.74,Points
Andrew Nembhard,8.92,Points
Andrew Wiggins,15.639999999999999,Points
Anfernee Simons,24.32,Points
Anthony Black,12.080000000000002,Points
Anthony Davis,25.26,Points
Bam Adebayo,17.96,Points
Bismack Biyombo,,Points
Chet Holmgren,15.399999999999999,Points
Chris Paul,7.18,Points
Collin Sexton,20.72,Points
Darius Garland,13.06,Points
De'Andre Hunter,12.719999999999999,Points
DeMar DeRozan,22.26,Points
Deni Avdija,18.22,Points
Desmond Bane,20.58,Points
Devin Vassell,20.5,Points
Dillon Brooks,13.399999999999999,Points
Domantas Sabonis,17.36,Points
Donovan Clingan,,Points
Donovan Mitchell,23.04,Points
Dyson Daniels,,Points
Franz Wagner,19.5,Points
Fred VanVleet,19.64,Points
Harrison Barnes,13.48,Points
Isaiah Collier,,Points
Isaiah Hartenstein,13.3,Points
Jalen Green,22.46,Points
Jarrett Allen,19.4,Points
Jaylen Wells,,Points
Jordan Poole,19.84,Points
Kai Jones,,Points
Keegan Murray,11.7,Points
Kel'el Ware,,Points
Kentavious Caldwell-Pope,9.6,Points
Keyonte George,13.82,Points
Khris Middleton,14.34,Points
Klay Thompson,16.02,Points
Kyle Filipowski,,Points
Luguentz Dort,12.0,Points
Luke Kennard,8.64,Points
Malik Monk,17.1,Points
Max Strus,9.16,Points
Myles Turner,13.739999999999998,Points
Naji Marshall,16.92,Points
Onyeka Okongwu,12.399999999999999,Points
Paolo Banchero,29.48,Points
Pascal Siakam,24.439999999999998,Points
Santi Aldama,11.6,Points
Shaedon Sharpe,17.7,Points
Shai Gilgeous-Alexander,31.199999999999996,Points
Spencer Dinwiddie,20.46,Points
Stephon Castle,,Points
Toumani Camara,9.059999999999999,Points
Trae Young,27.54,Points
Tyler Herro,24.080000000000002,Points
Tyrese Haliburton,20.1,Points
Walker Kessler,9.260000000000002,Points
Zaccharie Risacher,,Points
Zach Edey,,Points
Zach LaVine,,Points
