Player,AI_Projection,Category
Aaron Nesmith,3.8200000000000003,Rebounds
AJ Johnson,,Rebounds
Alex Sarr,,Rebounds
Alperen Sengun,12.14,Rebounds
Amen Thompson,9.9,Rebounds
Andrew Nembhard,3.12,Rebounds
Andrew Wiggins,3.78,Rebounds
Anfernee Simons,3.1,Rebounds
Anthony Black,3.7,Rebounds
Anthony Davis,13.48,Rebounds
Bam Adebayo,8.96,Rebounds
Bismack Biyombo,,Rebounds
Chet Holmgren,8.42,Rebounds
Chris Paul,2.42,Rebounds
Collin Sexton,3.1000000000000005,Rebounds
Darius Garland,3.78,Rebounds
De'Andre Hunter,4.74,Rebounds
DeMar DeRozan,4.44,Rebounds
Deni Avdija,8.8,Rebounds
Desmond Bane,5.3,Rebounds
Devin Vassell,4.9,Rebounds
Dillon Brooks,3.42,Rebounds
Domantas Sabonis,11.54,Rebounds
Donovan Clingan,,Rebounds
Donovan Mitchell,4.82,Rebounds
Dyson Daniels,,Rebounds
Franz Wagner,5.779999999999999,Rebounds
Fred VanVleet,3.96,Rebounds
Harrison Barnes,3.06,Rebounds
Isaiah Collier,,Rebounds
Isaiah Hartenstein,11.56,Rebounds
Jalen Green,5.699999999999999,Rebounds
Jarrett Allen,11.26,Rebounds
Jaylen Wells,,Rebounds
Jordan Poole,2.8200000000000003,Rebounds
Kai Jones,,Rebounds
Keegan Murray,5.84,Rebounds
Kel'el Ware,,Rebounds
Kentavious Caldwell-Pope,3.16,Rebounds
Keyonte George,3.28,Rebounds
Khris Middleton,4.5,Rebounds
Klay Thompson,3.12,Rebounds
Kyle Filipowski,,Rebounds
Luguentz Dort,4.140000000000001,Rebounds
Luke Kennard,2.5,Rebounds
Malik Monk,3.92,Rebounds
Max Strus,4.24,Rebounds
Myles Turner,7.640000000000001,Rebounds
Naji Marshall,5.279999999999999,Rebounds
Onyeka Okongwu,9.42,Rebounds
Paolo Banchero,7.6,Rebounds
Pascal Siakam,6.76,Rebounds
Santi Aldama,6.58,Rebounds
Shaedon Sharpe,3.6999999999999997,Rebounds
Shai Gilgeous-Alexander,5.16,Rebounds
Spencer Dinwiddie,3.78,Rebounds
Stephon Castle,,Rebounds
Toumani Camara,4.34,Rebounds
Trae Young,3.16,Rebounds
Tyler Herro,4.98,Rebounds
Tyrese Haliburton,3.34,Rebounds
Walker Kessler,10.94,Rebounds
Zaccharie Risacher,,Rebounds
Zach Edey,,Rebounds
Zach LaVine,,Rebounds
