Player,Best_Over_Odds,Best_Under_Odds,Best_Point
Al Horford,-162,105,2.5
Anthony Edwards,-118,-113,4.5
Brandin Podziemski,-158,-103,2.5
Buddy Hield,136,-179,2.5
Cameron Payne,-130,-105,0.5
Derrick White,-115,-115,5.5
Donte DiVincenzo,-170,110,2.5
Draymond Green,-162,110,4.5
Gary Payton II,-105,-125,1.5
Jaden McDaniels,126,-166,1.5
Jalen Brunson,-135,100,6.5
Jaylen Brown,-167,104,4.5
Jimmy Butler,112,-145,6.5
Jonathan Kuminga,-167,120,1.5
Josh Hart,-154,116,5.5
Jrue Holiday,-110,-120,4.5
Julius Randle,-150,100,5.5
Karl-Anthony Towns,-147,102,1.5
Kevon Looney,-130,-105,0.5
Kristaps Porzingis,-145,110,1.5
Mikal Bridges,-175,116,2.5
Mike Conley,-140,100,3.5
Miles McBride,-220,160,0.5
Naz Reid,-115,-115,1.5
Nickeil Alexander-Walker,-130,100,1.5
OG Anunoby,-110,-120,1.5
Payton Pritchard,-170,120,2.5
Rudy Gobert,-130,100,0.5
Trayce Jackson-Davis,-190,140,0.5
description,nan,nan,
