Player,Best_Over_Odds,Best_Under_Odds,Best_Point
AJ Johnson,-130,-102,12.5
Aaron Nesmith,-125,-105,12.5
Alec Burks,-118,-113,10.5
Alex Sarr,-122,-106,16.5
Alperen Sengun,-110,-120,19.5
Amen Thompson,-125,-106,13.5
Andrew Nembhard,-125,-105,10.5
Anthony Davis,-130,-102,24.5
Austin Reaves,-130,100,20.5
Bam Adebayo,-120,-112,21.5
Carlton Carrington,-120,-110,11.5
Chet Holmgren,-110,-119,15.5
Coby White,-118,-112,23.5
Cody Williams,-110,-119,7.5
Colby Jones,-130,100,8.5
Collin Sexton,-120,-110,18.5
DaQuan Jeffries,-135,100,10.5
Daniel Gafford,-112,-118,8.5
Davion Mitchell,-118,-110,10.5
DeMar DeRozan,-117,-114,21.5
Derrick White,-120,-110,15.5
Desmond Bane,-124,-107,18.5
Dillon Brooks,-110,-120,13.5
Domantas Sabonis,-130,100,17.5
Dorian Finney-Smith,-110,-118,7.5
Franz Wagner,-128,-104,23.5
Fred VanVleet,-114,-117,12.5
Gabe Vincent,-115,-115,5.5
Goga Bitadze,-110,-120,5.5
Haywood Highsmith,-130,101,7.5
Isaiah Collier,-125,-105,11.5
Isaiah Hartenstein,-115,-115,10.5
Ivica Zubac,-132,100,15.5
Ja Morant,-145,-105,23.5
Jabari Smith Jr,-110,-119,10.5
Jalen Green,-132,100,21.5
Jalen Williams,-125,-105,20.5
James Harden,-125,-105,20.5
Jaren Jackson Jr,-133,103,18.5
Jaxson Hayes,-130,100,7.5
Jaylen Brown,-115,-115,19.5
Jaylen Martin,-105,-125,9.5
Jaylen Wells,-125,-105,7.5
Jayson Tatum,-120,-110,26.5
Jordan Poole,-125,-105,14.5
Josh Giddey,-128,-104,19.5
Josh Green,-130,-102,6.5
Jrue Holiday,-120,-110,11.5
Justin Champagnie,-130,-103,9.5
KJ Simpson,-114,-114,11.5
Kawhi Leonard,-110,-122,22.5
Keegan Murray,-125,-105,12.5
Kel'el Ware,-130,101,12.5
Kentavious Caldwell-Pope,-112,-118,7.5
Keon Ellis,-128,-102,8.5
Keyonte George,-143,-105,17.5
Klay Thompson,-125,-105,11.5
Kris Dunn,-130,-102,6.5
Kristaps Porzingis,-120,-110,20.5
Kyle Anderson,-135,100,6.5
Kyle Filipowski,-115,-114,15.5
LeBron James,-115,-115,23.5
Luguentz Dort,-130,100,9.5
Luka Doncic,-120,-110,29.5
Luke Kennard,100,-135,7.5
Malik Monk,-125,-106,14.5
Mark Williams,-135,100,14.5
Matas Buzelis,-120,-110,13.5
Max Christie,-120,-110,8.5
Miles Bridges,-125,-105,22.5
Myles Turner,-118,-112,15.5
Naji Marshall,-130,100,13.5
Nikola Vucevic,-112,-118,16.5
Norman Powell,-115,-115,17.5
Obi Toppin,-120,-110,10.5
P.J. Washington,-125,-106,15.5
Paolo Banchero,-118,-113,26.5
Pascal Siakam,-128,-104,21.5
Pelle Larsson,-127,-105,8.5
Rui Hachimura,-130,100,9.5
Scotty Pippen Jr,-105,-125,9.5
Shai Gilgeous-Alexander,-120,-110,33.5
Spencer Dinwiddie,-130,100,12.5
T.J. McConnell,-110,-120,7.5
Tari Eason,-120,-110,10.5
Trey Lyles,105,-145,5.5
Tyler Herro,-143,110,24.5
Tyrese Haliburton,-120,-110,19.5
Vincent Williams Jr,-135,100,5.5
Wendell Carter Jr,-130,100,9.5
Zach Edey,-130,-103,8.5
Zach LaVine,-115,-115,20.5
description,nan,nan,
