Player,Best_Over_Odds,Best_Under_Odds,Best_Point
Aaron Gordon,-109,-122,6.5
Aaron Nesmith,-140,100,4.5
Aaron Wiggins,-182,130,1.5
Alex Caruso,-148,102,2.5
Andrew Nembhard,-120,-110,3.5
Bennedict Mathurin,-109,-121,3.5
Cason Wallace,-175,130,1.5
Chet Holmgren,-160,-106,9.5
Christian Braun,-114,-117,5.5
Darius Garland,-120,-110,2.5
De'Andre Hunter,-172,120,3.5
Dean Wade,-125,-105,2.5
Donovan Mitchell,-160,124,5.5
Evan Mobley,-118,-110,10.5
Isaiah Hartenstein,-135,100,8.5
Jalen Williams,-150,114,4.5
Jamal Murray,110,-140,4.5
Jarrett Allen,-132,100,10.5
Luguentz Dort,115,-155,3.5
Max Strus,102,-134,5.5
Michael Porter Jr,-125,-105,5.5
Myles Turner,-150,100,6.5
Nikola Jokic,-133,103,13.5
Obi Toppin,110,-145,3.5
Pascal Siakam,-162,105,5.5
Peyton Watson,-103,-125,2.5
Russell Westbrook,-115,-115,3.5
Sam Merrill,120,-160,2.5
Shai Gilgeous-Alexander,-154,110,5.5
T.J. McConnell,-120,-110,3.5
Thomas Bryant,-120,-110,2.5
Ty Jerome,117,-152,2.5
Tyrese Haliburton,-178,115,3.5
description,nan,nan,
