Player,Opponent,Best_Line,AI_Projection,L10,H2H,Best_Over_Odds,Best_Under_Odds,Edge
Aaron Nesmith,NYK,1.5,0.76,0.6,1.0,140.0,-185.0,-0.74
Andrew Nembhard,NYK,5.5,4.76,4.6,5.0,110.0,-140.0,-0.7400000000000002
Bennedict Mathurin,NYK,0.5,1.26,2.1,0.0,-189.0,135.0,0.76
Cameron Payne,IND,0.5,3.4200000000000004,3.7,3.0,-120.0,-110.0,2.9200000000000004
Jalen Brunson,IND,7.5,5.26,6.3,3.7,-115.0,-115.0,-2.24
Josh Hart,IND,5.5,5.5200000000000005,7.2,3.0,105.0,-135.0,0.020000000000000462
Karl-Anthony Towns,IND,1.5,3.46,3.1,4.0,-135.0,100.0,1.96
Mikal Bridges,IND,3.5,4.7,4.7,4.7,115.0,-150.0,1.2000000000000002
Miles McBride,IND,1.5,2.5799999999999996,4.1,0.3,110.0,-150.0,1.0799999999999996
Mitchell Robinson,IND,0.5,,1.0,,-109.0,-119.0,
Myles Turner,NYK,1.5,1.64,1.2,2.3,124.0,-160.0,0.1399999999999999
Obi Toppin,NYK,1.5,1.9,2.3,1.3,124.0,-160.0,0.3999999999999999
OG Anunoby,IND,1.5,2.76,2.6,3.0,-167.0,127.0,1.2599999999999998
Pascal Siakam,NYK,2.5,3.62,3.5,3.8,-166.0,130.0,1.12
T.J. McConnell,NYK,3.5,4.44,4.4,4.5,100.0,-130.0,0.9400000000000004
Thomas Bryant,NYK,,,0.3,,,,
Tyrese Haliburton,NYK,8.5,11.32,10.0,13.3,-156.0,-103.0,2.8200000000000003
