Player,Opponent,Best_Line,AI_Projection,L10,H2H,Best_Over_Odds,Best_Under_Odds,Edge
Aaron Nesmith,NYK,12.5,15.66,13.9,18.3,-215.0,-105.0,3.16
Andrew Nembhard,NYK,10.5,9.64,9.2,10.3,-275.0,-104.0,-0.8599999999999994
Ben Sheppard,NYK,2.5,2.74,2.9,2.5,-120.0,-110.0,0.2400000000000002
Bennedict Mathurin,NYK,6.5,14.34,15.9,12.0,-290.0,-105.0,7.84
Jalen Brunson,IND,30.5,29.76,25.8,35.7,-275.0,104.0,-0.7399999999999984
Josh Hart,IND,9.5,9.66,11.9,6.3,-280.0,100.0,0.16000000000000014
Karl-Anthony Towns,IND,21.5,30.88,24.8,40.0,-240.0,-109.0,9.379999999999999
Mikal Bridges,IND,16.5,15.68,16.6,14.3,-220.0,100.0,-0.8200000000000003
Miles McBride,IND,6.5,10.44,11.4,9.0,-165.0,-114.0,3.9399999999999995
Mitchell Robinson,IND,5.5,,5.9,,-120.0,-110.0,
Myles Turner,NYK,14.5,16.6,15.2,18.7,-275.0,107.0,2.1000000000000014
Obi Toppin,NYK,6.5,10.9,11.5,10.0,-215.0,100.0,4.4
OG Anunoby,IND,16.5,20.56,25.6,13.0,-275.0,-105.0,4.059999999999999
Pascal Siakam,NYK,20.5,17.46,16.1,19.5,-290.0,100.0,-3.039999999999999
T.J. McConnell,NYK,7.5,9.36,8.6,10.5,-250.0,-110.0,1.8599999999999994
Tyrese Haliburton,NYK,20.5,19.76,19.8,19.7,-250.0,-104.0,-0.7399999999999984
