Player,Opponent,Best_Line,AI_Projection,L10,H2H,Best_Over_Odds,Best_Under_Odds,Edge
Aaron Gordon,LAC,4.5,4.800000000000001,4.2,5.7,-141.0,104.0,0.3000000000000007
Aaron Nesmith,MIL,4.5,3.5399999999999996,4.3,2.4,-110.0,-119.0,-0.9600000000000004
Andrew Nembhard,MIL,3.5,2.859999999999999,4.3,0.7,-115.0,-115.0,-0.640000000000001
Anthony Edwards,LAL,5.5,4.859999999999999,5.1,4.5,-121.0,-110.0,-0.6400000000000006
Ausar Thompson,NYK,5.5,5.92,6.2,5.5,-152.0,115.0,0.41999999999999993
Austin Reaves,MIN,4.5,4.74,4.7,4.8,-145.0,102.0,0.2400000000000002
Bennedict Mathurin,MIL,3.5,5.92,5.6,6.4,-103.0,-125.0,2.42
Bobby Portis,IND,8.5,8.28,10.2,5.4,-115.0,-114.0,-0.22000000000000064
Brook Lopez,IND,4.5,4.54,4.9,4.0,-130.0,-103.0,0.040000000000000036
Cade Cunningham,NYK,5.5,5.06,6.1,3.5,-120.0,-110.0,-0.4400000000000004
Cameron Payne,DET,0.5,2.12,2.0,2.3,-160.0,120.0,1.62
Christian Braun,LAC,4.5,5.38,6.3,4.0,-130.0,100.0,0.8799999999999999
Donte DiVincenzo,LAL,3.5,3.3200000000000003,3.2,3.5,112.0,-148.0,-0.17999999999999972
Dorian Finney-Smith,MIN,3.5,4.300000000000001,3.5,5.5,-165.0,107.0,0.8000000000000007
Gabe Vincent,MIN,1.5,,1.7,,134.0,-175.0,
Giannis Antetokounmpo,IND,12.5,12.22,11.7,13.0,-137.0,104.0,-0.27999999999999936
Ivica Zubac,DEN,12.5,13.34,13.7,12.8,-135.0,105.0,0.8399999999999999
Jaden McDaniels,LAL,4.5,3.74,4.1,3.2,-152.0,102.0,-0.7599999999999998
Jalen Brunson,DET,3.5,3.0,3.0,3.0,-150.0,110.0,-0.5
Jalen Duren,NYK,10.5,12.2,11.0,14.0,-130.0,-102.0,1.6999999999999993
Jamal Murray,LAC,3.5,2.88,4.8,0.0,-120.0,-110.0,-0.6200000000000001
James Harden,DEN,5.5,4.36,5.4,2.8,112.0,-150.0,-1.1399999999999997
Jarred Vanderbilt,MIN,3.5,5.24,5.4,5.0,-125.0,-105.0,1.7400000000000002
Jaxson Hayes,MIN,3.5,5.4,5.0,6.0,-105.0,-129.0,1.9000000000000004
Josh Hart,DET,9.5,9.22,8.9,9.7,-130.0,100.0,-0.27999999999999936
Julius Randle,LAL,7.5,9.98,7.3,14.0,-103.0,-130.0,2.4800000000000004
Karl-Anthony Towns,DET,11.5,9.54,11.9,6.0,-132.0,100.0,-1.9600000000000009
Kawhi Leonard,DEN,6.5,6.2,7.2,4.7,-105.0,-125.0,-0.2999999999999998
Kevin Porter Jr.,IND,3.5,,5.2,,-130.0,-105.0,
Kris Dunn,DEN,2.5,2.78,3.1,2.3,-140.0,-105.0,0.2799999999999998
Kyle Kuzma,IND,4.5,4.5,3.5,6.0,-114.0,-114.0,0.0
LeBron James,MIN,7.5,5.68,5.8,5.5,-135.0,100.0,-1.8200000000000003
Malik Beasley,NYK,2.5,2.4800000000000004,2.0,3.2,140.0,-185.0,-0.019999999999999574
Mikal Bridges,DET,3.5,2.8400000000000003,2.6,3.2,110.0,-140.0,-0.6599999999999997
Mike Conley,LAL,2.5,2.8200000000000003,2.7,3.0,110.0,-140.0,0.3200000000000003
Miles McBride,DET,1.5,2.56,2.6,2.5,-110.0,-120.0,1.06
Mitchell Robinson,DET,4.5,7.859999999999999,7.1,9.0,-140.0,105.0,3.3599999999999994
Myles Turner,MIL,7.5,6.960000000000001,6.8,7.2,-143.0,106.0,-0.5399999999999991
Naz Reid,LAL,5.5,5.54,4.9,6.5,102.0,-136.0,0.040000000000000036
Nickeil Alexander-Walker,LAL,2.5,3.3600000000000003,3.6,3.0,-164.0,120.0,0.8600000000000003
Nicolas Batum,DEN,2.5,2.98,2.3,4.0,130.0,-175.0,0.48
Norman Powell,DEN,2.5,2.32,2.0,2.8,-120.0,-109.0,-0.18000000000000016
Obi Toppin,MIL,3.5,4.5,4.3,4.8,-127.0,-106.0,1.0
OG Anunoby,DET,4.5,5.12,5.2,5.0,-146.0,-101.0,0.6200000000000001
Pascal Siakam,MIL,7.5,6.08,5.8,6.5,-103.0,-125.0,-1.42
Peyton Watson,LAC,2.5,3.38,4.3,2.0,100.0,-130.0,0.8799999999999999
Rudy Gobert,LAL,12.5,14.54,14.9,14.0,-135.0,100.0,2.039999999999999
Rui Hachimura,MIN,5.5,3.5000000000000004,3.7,3.2,105.0,-139.0,-1.9999999999999996
Russell Westbrook,LAC,3.5,4.52,4.2,5.0,-150.0,100.0,1.0199999999999996
Ryan Rollins,IND,2.5,3.0,3.0,3.0,-127.0,-102.0,0.5
T.J. McConnell,MIL,2.5,3.34,2.9,4.0,-110.0,-118.0,0.8399999999999999
Taurean Prince,IND,3.5,2.1999999999999997,3.0,1.0,-175.0,126.0,-1.3000000000000003
Thomas Bryant,MIL,2.5,2.72,3.2,2.0,-164.0,115.0,0.2200000000000002
Tobias Harris,NYK,6.5,5.08,4.8,5.5,-169.0,110.0,-1.42
Tyrese Haliburton,MIL,3.5,4.18,3.1,5.8,-143.0,100.0,0.6799999999999997
