Player,Best_Over_Odds,Best_Under_Odds,Best_Point,Opponent,L10_AST,H2H_AST
Aaron Wiggins,-165.0,124.0,0.5,MIN,2.6,0.8
Alex Caruso,-124.0,-107.0,2.5,MIN,2.6,5.5
Anthony Edwards,-175.0,118.0,5.5,OKC,4.3,4.0
Cason Wallace,-172.0,125.0,1.5,MIN,2.8,0.8
Chet Holmgren,120.0,-154.0,1.5,MIN,2.1,3.8
Donte DiVincenzo,-175.0,116.0,2.5,OKC,3.0,1.0
Isaiah Hartenstein,-135.0,100.0,2.5,MIN,3.6,1.5
Jaden McDaniels,-125.0,-105.0,1.5,OKC,1.4,0.7
Jalen Williams,-175.0,115.0,4.5,MIN,4.6,3.0
Julius Randle,-162.0,120.0,4.5,OKC,4.9,2.0
Luguentz Dort,-220.0,145.0,0.5,MIN,1.6,0.8
Mike Conley,-120.0,-110.0,3.5,OKC,4.7,5.3
Naz Reid,-110.0,-120.0,1.5,OKC,2.6,1.0
Nickeil Alexander-Walker,-165.0,110.0,1.5,OKC,4.1,2.2
Rudy Gobert,-150.0,-105.0,0.5,OKC,1.5,0.8
Shai Gilgeous-Alexander,-141.0,-102.0,6.5,MIN,7.4,6.8
