Player,Best_Over_Odds,Best_Under_Odds,Best_Point,Opponent,L10_PTS,H2H_PTS
Al Horford,-143.0,100.0,7.5,NYK,12.3,8.0
Anthony Edwards,-157.0,-103.0,27.5,GSW,28.2,25.3
Brandin Podziemski,-157.0,-105.0,11.5,MIN,17.6,12.7
Buddy Hield,-167.0,102.0,14.5,MIN,10.6,0.0
Derrick White,-136.0,102.0,16.5,NYK,15.2,12.0
Donte DiVincenzo,-159.0,-103.0,8.5,GSW,11.3,17.0
Draymond Green,-129.0,-104.0,8.5,MIN,8.6,7.0
Gary Payton II,-121.0,-109.0,5.5,MIN,7.8,4.3
Jaden McDaniels,-141.0,106.0,12.5,GSW,8.8,7.0
Jalen Brunson,-139.0,100.0,27.5,BOS,25.8,27.4
Jaylen Brown,-167.0,-103.0,22.5,NYK,16.7,19.0
Jayson Tatum,-155.0,-107.0,27.5,NYK,24.2,26.2
Jonathan Kuminga,-137.0,104.0,17.5,MIN,11.6,9.7
Josh Hart,-150.0,100.0,11.5,BOS,11.9,12.2
Jrue Holiday,-152.0,-110.0,9.5,NYK,11.5,11.6
Julius Randle,-143.0,104.0,20.5,GSW,18.3,
Karl-Anthony Towns,-165.0,100.0,19.5,BOS,24.8,16.0
Kevon Looney,-118.0,-110.0,3.5,MIN,3.6,2.0
Luke Kornet,-118.0,-110.0,3.5,NYK,10.4,2.0
Mikal Bridges,-143.0,-103.0,13.5,BOS,16.6,17.0
Mike Conley,-138.0,100.0,6.5,GSW,7.5,11.7
Miles McBride,-150.0,110.0,5.5,BOS,11.4,4.3
Mitchell Robinson,-125.0,-105.0,4.5,BOS,5.9,5.2
Naz Reid,-155.0,112.0,11.5,GSW,11.7,13.3
Nickeil Alexander-Walker,-135.0,100.0,5.5,GSW,10.4,8.7
OG Anunoby,-130.0,100.0,14.5,BOS,25.6,10.7
Payton Pritchard,-139.0,100.0,9.5,NYK,15.3,6.4
Rudy Gobert,-148.0,100.0,8.5,GSW,18.8,12.0
Trayce Jackson-Davis,-110.0,-118.0,5.5,MIN,3.3,3.3
