Player,Best_Over_Odds,Best_Under_Odds,Best_Point,Opponent,L10_REB,H2H_REB
Aaron Nesmith,-130.0,-105.0,4.5,CLE,4.3,6.0
Alperen Sengun,-140.0,100.0,10.5,GSW,9.4,9.0
Amen Thompson,105.0,-140.0,7.5,GSW,7.3,4.0
Andrew Nembhard,-105.0,-125.0,3.5,CLE,4.3,1.0
Bennedict Mathurin,-167.0,125.0,3.5,CLE,5.6,1.5
Brandin Podziemski,100.0,-130.0,5.5,HOU,6.1,4.5
Buddy Hield,-164.0,115.0,2.5,HOU,3.1,4.0
De'Andre Hunter,-165.0,124.0,3.5,IND,4.5,3.0
Dean Wade,-120.0,-110.0,3.5,IND,2.1,1.5
Dillon Brooks,-159.0,110.0,3.5,GSW,2.2,2.7
Donovan Mitchell,-145.0,108.0,4.5,IND,5.6,4.5
Draymond Green,-130.0,100.0,6.5,HOU,5.8,6.5
Evan Mobley,-140.0,110.0,10.5,IND,9.5,9.7
Fred VanVleet,-105.0,-125.0,3.5,GSW,2.1,3.0
Gary Payton II,-170.0,115.0,2.5,HOU,3.4,3.0
Jalen Green,-115.0,-118.0,4.5,GSW,4.7,5.3
Jarace Walker,-105.0,-125.0,2.5,CLE,4.8,
Jarrett Allen,-127.0,-102.0,10.5,IND,8.0,9.7
Max Strus,-110.0,-120.0,4.5,IND,4.3,5.7
Moses Moody,-140.0,105.0,2.5,HOU,2.9,3.3
Myles Turner,-105.0,-125.0,6.5,CLE,6.8,7.5
Obi Toppin,-162.0,126.0,2.5,CLE,4.3,4.5
Pascal Siakam,-145.0,100.0,6.5,CLE,5.8,7.8
Quinten Post,-118.0,-115.0,3.5,HOU,2.5,
Sam Merrill,105.0,-135.0,2.5,IND,3.0,1.5
Stephen Curry,-160.0,122.0,4.5,HOU,4.9,6.0
Steven Adams,-160.0,-106.0,8.5,GSW,6.9,
T.J. McConnell,-110.0,-118.0,2.5,CLE,2.9,2.3
Tari Eason,-105.0,-123.0,3.5,GSW,6.1,
Ty Jerome,-166.0,108.0,2.5,IND,1.6,
Tyrese Haliburton,-105.0,-129.0,4.5,CLE,3.1,5.5
