Over,Aaron Nesmith,110,4.5
Under,Aaron Nesmith,-140,4.5
Over,Aaron Nesmith,-101,4.5
Under,Aaron Nesmith,-128,4.5
Over,Aaron Nesmith,-115,4.5
Under,Aaron Nesmith,-115,4.5
Over,Aaron Nesmith,102,4.5
Under,Aaron Nesmith,-136,4.5
Over,Aaron Nesmith,116,4.5
Under,Aaron Nesmith,-155,4.5
Over,Al Horford,-125,8.5
Under,Al Horford,-105,8.5
Over,Al Horford,-122,8.5
Under,Al Horford,-108,8.5
Over,Al Horford,-135,8.5
Under,Al Horford,100,8.5
Over,Al Horford,-123,8.5
Under,Al Horford,-104,8.5
Over,Al Horford,-130,8.5
Under,Al Horford,100,8.5
Over,Andrew Nembhard,120,3.5
Under,Andrew Nembhard,-154,3.5
Over,Andrew Nembhard,134,3.5
Under,Andrew Nembhard,-175,3.5
Over,Andrew Nembhard,100,3.5
Under,Andrew Nembhard,-135,3.5
Over,Andrew Nembhard,128,3.5
Under,Andrew Nembhard,-172,3.5
Over,Andrew Nembhard,128,3.5
Under,Andrew Nembhard,-175,3.5
Over,Anthony Black,114,3.5
Under,Anthony Black,-145,3.5
Over,Anthony Black,116,3.5
Under,Anthony Black,-154,3.5
Over,Anthony Black,115,3.5
Under,Anthony Black,-155,3.5
Over,Anthony Black,117,3.5
Under,Anthony Black,-152,3.5
Over,Anthony Edwards,-148,5.5
Under,Anthony Edwards,112,5.5
Over,Anthony Edwards,-154,5.5
Under,Anthony Edwards,120,5.5
Over,Anthony Edwards,-125,5.5
Under,Anthony Edwards,-107,5.5
Over,Anthony Edwards,-145,5.5
Under,Anthony Edwards,111,5.5
Over,Anthony Edwards,-140,5.5
Under,Anthony Edwards,105,5.5
Over,Anthony Edwards,-135,5.5
Under,Anthony Edwards,105,5.5
Over,Austin Reaves,102,4.5
Under,Austin Reaves,-136,4.5
Over,Austin Reaves,105,4.5
Under,Austin Reaves,-135,4.5
Over,Austin Reaves,107,4.5
Under,Austin Reaves,-141,4.5
Over,Austin Reaves,-101,4.5
Under,Austin Reaves,-128,4.5
Over,Austin Reaves,-105,4.5
Under,Austin Reaves,-125,4.5
Over,Bennedict Mathurin,-110,3.5
Under,Bennedict Mathurin,-120,3.5
Over,Bennedict Mathurin,-103,3.5
Under,Bennedict Mathurin,-125,3.5
Over,Bennedict Mathurin,-110,3.5
Under,Bennedict Mathurin,-120,3.5
Over,Bennedict Mathurin,-104,3.5
Under,Bennedict Mathurin,-128,3.5
Over,Bennedict Mathurin,-110,3.5
Under,Bennedict Mathurin,-121,3.5
Over,Bobby Portis,-110,8.5
Under,Bobby Portis,-120,8.5
Over,Bobby Portis,-109,8.5
Under,Bobby Portis,-119,8.5
Over,Bobby Portis,100,8.5
Under,Bobby Portis,-135,8.5
Over,Bobby Portis,-118,8.5
Under,Bobby Portis,-112,8.5
Over,Bobby Portis,-110,8.5
Under,Bobby Portis,-120,8.5
Over,Bobby Portis,-105,8.5
Under,Bobby Portis,-127,8.5
Over,Brook Lopez,-135,3.5
Under,Brook Lopez,105,3.5
Over,Brook Lopez,-143,3.5
Under,Brook Lopez,110,3.5
Over,Brook Lopez,-150,3.5
Under,Brook Lopez,110,3.5
Over,Brook Lopez,-144,3.5
Under,Brook Lopez,108,3.5
Over,Brook Lopez,-141,3.5
Under,Brook Lopez,106,3.5
Over,Caleb Houstan,122,1.5
Under,Caleb Houstan,-159,1.5
Over,Cory Joseph,-166,1.5
Under,Cory Joseph,130,1.5
Over,Cory Joseph,-150,1.5
Under,Cory Joseph,110,1.5
Over,Cory Joseph,-156,1.5
Under,Cory Joseph,120,1.5
Over,Damian Lillard,-140,3.5
Under,Damian Lillard,110,3.5
Over,Damian Lillard,-147,3.5
Under,Damian Lillard,113,3.5
Over,Damian Lillard,120,4.5
Under,Damian Lillard,-160,4.5
Over,Damian Lillard,-144,3.5
Under,Damian Lillard,108,3.5
Over,Damian Lillard,-137,3.5
Under,Damian Lillard,104,3.5
Over,Derrick White,-125,4.5
Under,Derrick White,-105,4.5
Over,Derrick White,-130,4.5
Under,Derrick White,-102,4.5
Over,Derrick White,-118,4.5
Under,Derrick White,-110,4.5
Over,Derrick White,-123,4.5
Under,Derrick White,-104,4.5
Over,Derrick White,-125,4.5
Under,Derrick White,-107,4.5
label,description,price,point
Over,Donte DiVincenzo,122,3.5
Under,Donte DiVincenzo,-162,3.5
Over,Donte DiVincenzo,113,3.5
Under,Donte DiVincenzo,-147,3.5
Over,Donte DiVincenzo,115,3.5
Under,Donte DiVincenzo,-155,3.5
Over,Dorian Finney-Smith,122,4.5
Under,Dorian Finney-Smith,-162,4.5
Over,Dorian Finney-Smith,-164,3.5
Under,Dorian Finney-Smith,125,3.5
Over,Dorian Finney-Smith,-160,3.5
Under,Dorian Finney-Smith,120,3.5
Over,Franz Wagner,105,6.5
Under,Franz Wagner,-135,6.5
Over,Franz Wagner,-158,5.5
Under,Franz Wagner,118,5.5
Over,Franz Wagner,110,6.5
Under,Franz Wagner,-150,6.5
Over,Franz Wagner,120,6.5
Under,Franz Wagner,-156,6.5
Over,Franz Wagner,-139,5.5
Under,Franz Wagner,105,5.5
Over,Franz Wagner,105,6.5
Under,Franz Wagner,-135,6.5
Over,Gabe Vincent,155,1.5
Under,Gabe Vincent,-204,1.5
Over,Gabe Vincent,160,1.5
Under,Gabe Vincent,-220,1.5
Over,Gary Harris,165,1.5
Under,Gary Harris,-220,1.5
Over,Gary Trent Jr,140,2.5
Under,Gary Trent Jr,-180,2.5
Over,Gary Trent Jr,141,2.5
Under,Gary Trent Jr,-185,2.5
Over,Gary Trent Jr,-190,1.5
Under,Gary Trent Jr,140,1.5
Over,Giannis Antetokounmpo,105,13.5
Under,Giannis Antetokounmpo,-135,13.5
Over,Giannis Antetokounmpo,-102,13.5
Under,Giannis Antetokounmpo,-127,13.5
Over,Giannis Antetokounmpo,-105,13.5
Under,Giannis Antetokounmpo,-125,13.5
Over,Giannis Antetokounmpo,-138,12.5
Under,Giannis Antetokounmpo,104,12.5
Over,Giannis Antetokounmpo,-105,13.5
Under,Giannis Antetokounmpo,-125,13.5
Over,Giannis Antetokounmpo,-139,12.5
Under,Giannis Antetokounmpo,105,12.5
Over,Jaden McDaniels,118,5.5
Under,Jaden McDaniels,-158,5.5
Over,Jaden McDaniels,110,5.5
Under,Jaden McDaniels,-140,5.5
Over,Jaden McDaniels,112,5.5
Under,Jaden McDaniels,-148,5.5
Over,Jaden McDaniels,115,5.5
Under,Jaden McDaniels,-149,5.5
Over,Jaden McDaniels,110,5.5
Under,Jaden McDaniels,-150,5.5
Over,Jaden McDaniels,125,5.5
Under,Jaden McDaniels,-165,5.5
Over,Jarace Walker,-118,2.5
Under,Jarace Walker,-115,2.5
Over,Jarred Vanderbilt,117,3.5
Under,Jarred Vanderbilt,-152,3.5
Over,Jarred Vanderbilt,115,3.5
Under,Jarred Vanderbilt,-155,3.5
Over,Jaxson Hayes,110,2.5
Under,Jaxson Hayes,-143,2.5
Over,Jaxson Hayes,115,2.5
Under,Jaxson Hayes,-155,2.5
Over,Jaylen Brown,-110,6.5
Under,Jaylen Brown,-120,6.5
Over,Jaylen Brown,102,6.5
Under,Jaylen Brown,-136,6.5
Over,Jaylen Brown,-130,6.5
Under,Jaylen Brown,100,6.5
Over,Jaylen Brown,-115,6.5
Under,Jaylen Brown,-112,6.5
