Player,Opponent,L10_AST,H2H_AST
Aaron Nesmith,CLE,0.6,0.5
Alperen Sengun,GSW,4.9,6.0
Amen Thompson,GSW,5.8,0.5
Andrew Nembhard,CLE,4.6,4.0
Bennedict Mathurin,CLE,2.1,3.0
Brandin Podziemski,HOU,3.9,2.5
Buddy Hield,HOU,1.1,5.5
De'Andre Hunter,IND,1.4,1.0
Dean Wade,IND,0.9,1.5
Dillon Brooks,GSW,1.4,1.3
Donovan Mitchell,IND,6.4,7.0
Draymond Green,HOU,5.3,5.0
Evan Mobley,IND,4.0,3.3
Fred VanVleet,GSW,4.8,9.0
Gary Payton II,HOU,1.5,0.5
Jalen Green,GSW,3.7,3.3
Jarace Walker,CLE,2.5,
Jarrett Allen,IND,1.7,1.3
Max Strus,IND,3.5,5.0
Moses Moody,HOU,1.2,0.7
Myles Turner,CLE,1.2,1.8
Obi Toppin,CLE,2.3,2.2
Pascal Siakam,CLE,3.5,2.5
Quinten Post,HOU,1.0,
Sam Merrill,IND,2.4,1.0
Stephen Curry,HOU,5.9,4.3
Steven Adams,GSW,0.6,
T.J. McConnell,CLE,4.4,6.3
Tari Eason,GSW,1.7,
Ty Jerome,IND,4.0,
Tyrese Haliburton,CLE,10.0,12.5
