Player,Opponent,L10_PTS,H2H_PTS
Aaron Gordon,MIN,17.1,9.2
Adem Bona,NYK,10.4,
Anfernee Simons,ATL,20.3,36.0
Anthony Edwards,DEN,26.9,26.0
Blake Wesley,ORL,5.7,7.0
Brandin Podziemski,MEM,14.5,7.3
Brook Lopez,PHX,15.0,10.0
Buddy Hield,MEM,10.9,10.0
Chris Paul,ORL,7.4,7.5
Christian Braun,MIN,14.0,6.8
Coby White,TOR,27.0,16.8
Cory Joseph,SAS,7.6,
Delon Wright,PHI,2.7,3.0
Deni Avdija,ATL,25.3,16.8
Desmond Bane,GSW,19.0,6.0
Devin Booker,MIL,21.6,27.5
Devin Vassell,ORL,19.0,28.0
Donovan Clingan,ATL,7.1,
Donte DiVincenzo,DEN,12.3,13.5
Draymond Green,MEM,9.7,8.7
Dyson Daniels,POR,14.7,4.0
Franz Wagner,SAS,22.6,27.0
Giannis Antetokounmpo,PHX,27.0,34.0
Guerschon Yabusele,NYK,10.5,
Harrison Barnes,ORL,10.9,13.0
Immanuel Quickley,CHI,20.7,12.0
Ja Morant,GSW,29.0,
Ja'Kobe Walter,CHI,10.3,
Jaden McDaniels,DEN,12.2,14.5
Jakob Poeltl,CHI,16.5,11.5
Jamal Murray,MIN,22.6,17.3
Jamison Battle,CHI,9.7,
Jared Butler,NYK,13.3,4.0
Jaylen Wells,GSW,8.1,
Jeremy Sochan,ORL,12.0,13.5
Jonathan Kuminga,MEM,13.1,25.0
Josh Giddey,TOR,20.3,17.0
Josh Hart,PHI,9.7,14.2
Julian Champagnie,ORL,9.2,4.0
Julius Randle,DEN,18.6,17.0
Justin Edwards,NYK,16.5,
Karl-Anthony Towns,PHI,24.4,23.0
Keldon Johnson,ORL,14.2,12.0
Kentavious Caldwell-Pope,SAS,7.9,7.2
Kevin Huerter,TOR,14.9,3.0
Kyle Kuzma,PHX,14.9,17.0
Landry Shamet,PHI,6.3,9.0
Luke Kennard,GSW,8.8,8.5
Matas Buzelis,TOR,13.8,
Mikal Bridges,PHI,22.9,16.0
Mike Conley,DEN,10.7,18.0
Mitchell Robinson,PHI,4.4,
Moses Moody,MEM,12.9,3.0
Naz Reid,DEN,11.7,12.0
Nick Richards,MIL,11.0,8.2
Nickeil Alexander-Walker,DEN,8.4,5.0
OG Anunoby,PHI,23.9,13.2
Onyeka Okongwu,POR,15.4,
Paolo Banchero,SAS,30.9,20.5
Quentin Grimes,NYK,27.9,7.4
Quinten Post,MEM,9.8,
Royce O'Neale,MIL,8.2,10.3
Rudy Gobert,DEN,12.6,12.7
Ryan Dunn,MIL,10.5,
Ryan Rollins,PHX,8.1,
Sandro Mamukelashvili,ORL,11.3,
Santi Aldama,GSW,12.7,13.3
Scottie Barnes,CHI,17.2,19.8
Shaedon Sharpe,ATL,18.9,
Stephen Curry,MEM,23.6,20.0
Stephon Castle,ORL,19.2,
Taurean Prince,PHX,8.2,6.2
Toumani Camara,ATL,13.4,10.0
Trae Young,POR,26.7,
Tyler Kolek,PHI,1.5,
Zaccharie Risacher,POR,17.7,
Zach Edey,GSW,9.3,
