Player,Opponent,L10_REB,H2H_REB
Aaron Nesmith,CLE,4.3,6.0
Andrew Nembhard,CLE,4.9,1.0
Anthony Edwards,MEM,4.8,3.0
Antonio Reeves,MIL,1.2,
Ausar Thompson,NYK,6.0,5.5
Brook Lopez,NOP,5.4,4.0
Cade Cunningham,NYK,6.1,3.5
Cameron Payne,DET,1.9,2.3
Caris LeVert,BKN,3.5,3.0
De'Andre Hunter,IND,3.5,3.0
Dean Wade,IND,2.5,1.5
Desmond Bane,MIN,4.9,2.0
Donte DiVincenzo,MEM,3.4,4.0
Dyson Daniels,BKN,7.0,2.0
Georges Niang,BKN,1.7,3.5
Giannis Antetokounmpo,NOP,11.1,13.0
Isaac Okoro,IND,2.9,2.5
Ja Morant,MIN,4.8,
Jaden McDaniels,MEM,4.3,2.5
Jalen Brunson,DET,3.4,3.0
Jalen Duren,NYK,10.7,14.0
Jarrett Allen,IND,7.7,9.7
Jose Alvarado,MIL,2.7,1.0
Julius Randle,MEM,6.4,11.0
Karl-Anthony Towns,DET,11.9,6.0
Keion Brooks Jr.,MIL,4.3,
Keon Johnson,ATL,3.2,
Kyle Kuzma,NOP,5.2,7.0
Landry Shamet,DET,1.8,2.3
Luke Kennard,MIN,2.6,2.0
Malik Beasley,NYK,2.4,3.2
Maxwell Lewis,ATL,3.4,0.0
Mikal Bridges,DET,3.3,3.2
Mike Conley,MEM,2.5,4.2
Miles McBride,DET,2.9,2.5
Mouhamed Gueye,BKN,3.9,
Myles Turner,CLE,7.8,7.5
Naz Reid,MEM,5.0,6.0
Nickeil Alexander-Walker,MEM,3.9,1.5
Onyeka Okongwu,BKN,10.6,9.5
Pascal Siakam,CLE,5.6,7.8
Precious Achiuwa,DET,4.0,11.0
Rudy Gobert,MEM,13.9,10.5
Ryan Rollins,NOP,3.2,
Sam Merrill,IND,3.4,1.5
Santi Aldama,MIN,5.5,6.8
Taurean Prince,NOP,2.6,1.8
Terance Mann,BKN,3.3,3.5
Tobias Harris,NYK,6.2,5.5
Tosan Evbuomwan,ATL,4.5,6.0
Trae Young,BKN,2.8,2.5
Trendon Watford,ATL,4.0,2.7
Ty Jerome,IND,1.5,
Tyrese Haliburton,CLE,3.1,5.5
Yves Missi,MIL,9.7,
Zaccharie Risacher,BKN,2.7,
Zach Edey,MIN,10.4,
Ziaire Williams,ATL,3.8,3.0
