PLAYER,KILLS,ASSISTS,K PROJ.,A PROJ.,TEAM,TEAM ODDS
Bin,7.5,14.5,6.46,13.06,BLG,-2000
Elk,12.0,13.5,10.79,13.33,BLG,-2000
knight,10.5,15.5,10.04,15.17,BLG,-2000
ON,1.5,26.5,1.86,25.19,BLG,-2000
Wei,6.5,19.5,6.34,19.78,BLG,-2000
Bin,7.5,14.5,6.68,13.12,BLG,-2000
Elk,12.0,13.5,10.76,13.24,BLG,-2000
knight,10.5,15.5,10.04,14.92,BLG,-2000
ON,1.5,26.5,1.86,25.06,BLG,-2000
Wei,6.5,19.5,6.32,19.76,BLG,-2000
AKi,4.5,14.5,5.47,15.25,NIP,105
Doinb,7.0,13.5,7.45,13.22,NIP,105
Leave,9.5,11,9.05,11.32,NIP,105
ppgod,1.0,18.5,1.65,20.05,NIP,105
Shanji,5.5,11,4.86,11.30,NIP,105
AKi,4.5,14.5,5.32,15.30,NIP,105
Doinb,7.0,13.5,7.34,13.30,NIP,105
Leave,9.5,11,9.06,11.08,NIP,105
ppgod,1.0,18.5,1.66,19.93,NIP,105
Shanji,5.5,11,4.95,11.41,NIP,105
Breathe,6.0,11.5,5.62,11.14,WBG,-135
Hang,1.5,20.5,1.94,19.91,WBG,-135
Light,10.0,10.5,9.74,10.47,WBG,-135
Tian,4.5,15.5,5.98,15.60,WBG,-135
Xiaohu,7.5,12.5,7.00,12.98,WBG,-135
Breathe,6.0,11.5,5.59,11.08,WBG,-135
Hang,1.5,20.5,1.81,19.75,WBG,-135
Light,10.0,10.5,9.75,10.72,WBG,-135
Tian,4.5,15.5,6.04,15.64,WBG,-135
Xiaohu,7.5,12.5,6.86,12.79,WBG,-135
Cube,3.5,7.5,3.02,7.91,WE,900
Karis,5.0,7.5,5.02,7.39,WE,900
Monki,4.5,11.5,4.10,10.76,WE,900
Taeyoon,5.0,7,5.07,7.80,WE,900
Vampire,1.0,14.5,2.14,13.73,WE,900
Cube,3.5,7.5,2.87,7.81,WE,900
Karis,5.0,7.5,5.03,7.38,WE,900
Monki,4.5,11.5,4.15,10.77,WE,900
Taeyoon,5.0,7,5.07,7.91,WE,900
Vampire,1.0,14.5,2.08,13.92,WE,900
