PLAYER,KILLS,ASSISTS,K PROJ.,A PROJ.,TEAM,TEAM ODDS
Flandre,7.5,17.5,7.15,16.20,AL,-852
Hope,13.0,15.5,12.19,14.36,AL,-852
Kael,1.5,28.0,2.02,26.57,AL,-852
Shanks,10.0,18.0,9.69,16.67,AL,-852
Tarzan,5.0,23.5,5.49,22.12,AL,-852
Bull,5.0,7.0,4.25,6.33,BRO,777
Clozer,4.0,8.0,4.31,8.26,BRO,777
HamBak,3.0,10.0,4.09,10.56,BRO,777
Morgan,3.0,6.5,4.08,6.21,BRO,777
Pollu,1.0,13.0,0.77,13.60,BRO,777
Ahn,10.0,12.0,9.35,12.41,EDG,-219
Angel,7.5,14.5,7.88,14.69,EDG,-219
Wink,1.5,21.5,2.37,20.86,EDG,-219
Xiaohao,7.0,16.5,6.59,15.56,EDG,-219
Zdz,6.0,13.0,5.41,11.68,EDG,-219
Canyon,5.5,18.5,6.85,18.32,GEN,-1783
Chovy,8.0,13.5,7.52,14.33,GEN,-1783
Duro,1.5,24.0,1.64,23.09,GEN,-1783
Kiin,5.5,13.0,6.40,13.89,GEN,-1783
Ruler,10.5,12.5,10.62,11.73,GEN,-1783
Fisher,4.5,8.5,5.06,8.54,NS,416
GIDEON,3.0,10.5,3.90,11.50,NS,416
Jiwoo,5.5,8.0,6.49,8.53,NS,416
Kingen,3.5,7.0,4.30,7.83,NS,416
Lehends,1.0,12.5,1.62,13.43,NS,416
Heng,5.0,14.0,4.17,13.26,OMG,176
Hery,5.0,10.5,4.34,9.83,OMG,176
Linfeng,7.0,11.5,6.68,11.41,OMG,176
Moham,1.0,19.0,0.77,18.04,OMG,176
Starry,8.0,10.5,9.23,10.19,OMG,176
Cube,3.0,7.5,3.17,8.09,WE,490
Karis,5.0,8.5,5.38,8.28,WE,490
Monki,4.5,10.0,4.45,11.12,WE,490
Taeyoon,5.0,7.0,5.68,7.58,WE,490
Vampire,1.0,13.5,2.09,14.36,WE,490
