Player,Team,PrizePick-Line,Match-1,Match-2,Match-3,Match-4,Match-5,Match-6,Match-7,Match-8,Match-9,Match-10,Average
gr1ks(K),Aurora,33.5,34,29,43,21,46,35,34,27,47,38,35.4
gr1ks ,Aurora,11.5,13,8,13,6,11,11,13,8,14,13,11
KENSI(K),Aurora,27.5,22,25,31,29,48,25,27,30,27,29,29.3
KENSI ,Aurora,14.5,12,13,16,15,25,20,16,20,15,16,16.8
Norwi(K),Aurora,28.5,26,31,29,31,36,27,31,24,32,20,28.7
Norwi ,Aurora,13.5,7,16,19,15,18,18,9,9,20,8,13.9
Patsi(K),Aurora,30.5,34,34,35,23,48,34,38,12,42,26,32.6
Patsi ,Aurora,15,18,12,9,9,23,21,15,8,25,16,15.6
Clax(K),Aurora,29.5,27,26,23,18,36,25,40,28,28,26,27.7
Clax ,Aurora,16.5,15,19,15,8,23,11,24,15,17,9,15.6
alex666(K),B8,29.5,30,32,24,26,23,35,36,37,33,24,30
alex666 ,B8,15,15,20,13,12,14,17,20,21,17,15,16.4
npl(K),B8,32.5,39,23,32,20,33,37,38,28,42,33,32.5
npl ,B8,18.5,17,14,18,9,18,15,21,16,28,18,17.4
esenthial(K),B8,27.5,28,28,26,21,25,39,27,21,31,28,27.4
esenthial ,B8,17.5,17,17,14,16,15,24,17,15,22,15,17.2
headtr1ck(K),B8,32,31,32,29,30,34,40,25,43,37,28,32.9
headtr1ck ,B8,11,8,12,7,17,10,8,11,11,7,9,10
kensizor(K),B8,30,20,30,31,17,32,33,36,23,41,40,30.3
kensizor ,B8,18,13,18,14,11,22,22,22,12,25,28,18.7
h1te(K),Betera,31.5,34,28,28,20,38,25,28,33,28,35,29.7
h1te ,Betera,11.5,18,10,7,10,12,12,9,17,15,8,11.8
Vert(K),Betera,25.5,25,8,27,15,20,15,18,28,38,22,21.6
Vert ,Betera,12.5,14,2,14,7,10,5,9,15,16,6,9.8
synyx(K),Betera,30.5,28,23,31,30,25,38,36,33,35,23,30.2
synyx ,Betera,17,16,14,22,18,18,23,21,18,20,12,18.2
tENZY(K),Betera,30.5,31,33,24,33,34,25,31,23,25,23,28.2
tENZY ,Betera,19.5,17,21,19,20,27,18,21,16,16,13,18.8
MaSvAl(K),Betera,29.5,16,35,31,30,25,25,27,36,33,30,28.8
